date,asset,lag,feature,importance
2020-05-10,BTC,12,squared return,-0.0007836023966471354
2020-05-10,BTC,12,squared down-return,-0.00017730394999186197
2020-05-10,BTC,13,return,-0.0070836544036865234
2020-05-10,BTC,13,squared return,-0.00022689501444498694
2020-05-10,BTC,13,squared down-return,0.00012524922688802082
2020-05-10,BTC,14,return,-0.003657817840576172
2020-05-10,BTC,14,squared return,0.0003898143768310547
2020-05-10,BTC,14,squared down-return,0.00034014383951822913
2020-05-10,BTC,15,return,0.01380157470703125
2020-05-10,BTC,15,squared return,0.001354058583577474
2020-05-10,BTC,15,squared down-return,0.0009296735127766926
2020-05-10,BTC,16,return,0.03223419189453125
2020-05-10,BTC,16,squared return,0.0005299250284830729
2020-05-10,BTC,16,squared down-return,0.0006428559621175131
2020-05-10,BTC,17,return,0.025595903396606445
2020-05-10,BTC,17,squared return,0.0003305276234944662
2020-05-10,BTC,17,squared down-return,0.0012532869974772134
2020-05-10,BTC,18,return,-0.006845712661743164
2020-05-10,BTC,18,squared return,0.0009482701619466146
2020-05-10,BTC,18,squared down-return,0.0005009969075520834
2020-05-10,BTC,19,return,0.0037511984507242837
2020-05-10,BTC,19,squared return,0.0010616779327392578
2020-05-10,BTC,19,squared down-return,0.0008415381113688152
2020-05-10,BTC,20,return,0.0017058849334716797
2020-05-10,BTC,20,squared return,0.00039871533711751306
2020-05-10,BTC,20,squared down-return,0.0002377033233642578
2020-07-09,BTC,1,return,0.00017356872558593753
2020-07-09,BTC,1,squared return,0.00025018056233723957
2020-07-09,BTC,1,squared down-return,0.000423590342203776
2020-07-09,BTC,2,return,-0.001466512680053711
2020-07-09,BTC,2,squared return,0.00036231676737467444
2020-07-09,BTC,2,squared down-return,0.00017523765563964844
2020-07-09,BTC,3,return,0.0013076464335123699
2020-07-09,BTC,3,squared return,9.067853291829428e-05
2020-07-09,BTC,3,squared down-return,4.673004150390625e-05
2020-07-09,BTC,4,return,0.007416407267252604
2020-07-09,BTC,4,squared return,0.0006113052368164062
2020-07-09,BTC,4,squared down-return,0.0006852944691975911
2020-07-09,BTC,5,return,0.007702271143595378
2020-07-09,BTC,5,squared return,0.00031844774881998694
2020-07-09,BTC,5,squared down-return,0.00010347366333007812
2020-07-09,BTC,6,return,-0.0037099520365397134
2020-07-09,BTC,6,squared return,-0.0006829897562662761
2020-07-09,BTC,6,squared down-return,-0.0009296735127766927
2020-07-09,BTC,7,return,-0.003473679224650065
2020-07-09,BTC,7,squared return,0.0005624294281005859
2020-07-09,BTC,7,squared down-return,0.0004241466522216797
2020-07-09,BTC,8,return,-0.0005493164062499999
2020-07-09,BTC,8,squared return,-0.0010300477345784504
2020-07-09,BTC,8,squared down-return,-0.0006921291351318359
2020-07-09,BTC,9,return,0.004141569137573242
2020-07-09,BTC,9,squared return,-0.00032639503479003906
2020-07-09,BTC,9,squared down-return,-0.00022180875142415363
2020-07-09,BTC,10,return,-0.01552406946818034
2020-07-09,BTC,10,squared return,0.00018405914306640625
2020-07-09,BTC,10,squared down-return,-3.0040740966796875e-05
2020-07-09,BTC,11,return,0.0028458436330159502
2020-07-09,BTC,11,squared return,9.290377298990886e-05
2020-07-09,BTC,11,squared down-return,2.9961268107096345e-05
2020-07-09,BTC,12,return,0.002672036488850912
2020-07-09,BTC,12,squared return,0.00024875005086263024
2020-07-09,BTC,12,squared down-return,-5.181630452473959e-05
2020-07-09,BTC,13,return,-0.017804463704427086
2020-07-09,BTC,13,squared return,0.00041675567626953125
2020-07-09,BTC,13,squared down-return,-0.00035309791564941406
2020-07-09,BTC,14,return,0.01455386479695638
2020-07-09,BTC,14,squared return,-0.00048057238260904944
2020-07-09,BTC,14,squared down-return,0.0005551179250081381
2020-07-09,BTC,15,return,0.01908238728841146
2020-07-09,BTC,15,squared return,0.001284201939900716
2020-07-09,BTC,15,squared down-return,0.001444101333618164
2020-07-09,BTC,16,return,0.004733006159464518
2020-07-09,BTC,16,squared return,0.0010527769724527993
2020-07-09,BTC,16,squared down-return,0.0009751319885253906
2020-07-09,BTC,17,return,0.022790908813476562
2020-07-09,BTC,17,squared return,-0.0021162033081054688
2020-07-09,BTC,17,squared down-return,0.0008866786956787109
2020-07-09,BTC,18,return,-0.0029820601145426435
2020-07-09,BTC,18,squared return,0.0013393561045328777
2020-07-09,BTC,18,squared down-return,0.0005427201588948568
2020-07-09,BTC,19,return,0.011646747589111328
2020-07-09,BTC,19,squared return,0.0012347698211669922
2020-07-09,BTC,19,squared down-return,0.0006608963012695314
2020-07-09,BTC,20,return,0.0015254815419514973
2020-07-09,BTC,20,squared return,0.00020774205525716147
2020-07-09,BTC,20,squared down-return,0.0003741582234700521
2020-09-07,BTC,1,return,0.0012555122375488281
2020-09-07,BTC,1,squared return,0.00030263264973958337
2020-09-07,BTC,1,squared down-return,0.000324249267578125
2020-09-07,BTC,2,return,-0.0001300970713297526
2020-09-07,BTC,2,squared return,8.114178975423178e-05
2020-09-07,BTC,2,squared down-return,0.00021560986836751303
2020-09-07,BTC,3,return,0.004094203313191732
2020-09-07,BTC,3,squared return,-8.821487426757826e-06
2020-09-07,BTC,3,squared down-return,0.00013860066731770832
2020-09-07,BTC,4,return,0.0038585662841796875
2020-09-07,BTC,4,squared return,0.0006194114685058594
2020-09-07,BTC,4,squared down-return,0.0005850791931152344
2020-09-07,BTC,5,return,0.002520163853963216
2020-09-07,BTC,5,squared return,0.000152587890625
2020-09-07,BTC,5,squared down-return,0.0002165635426839193
2020-09-07,BTC,6,return,-0.004442532857259114
2020-09-07,BTC,6,squared return,-6.667772928873696e-05
2020-09-07,BTC,6,squared down-return,-5.372365315755209e-05
2020-09-07,BTC,7,return,0.0003521442413330078
2020-09-07,BTC,7,squared return,0.0007691383361816406
2020-09-07,BTC,7,squared down-return,0.00042343139648437495
2020-09-07,BTC,8,return,-0.0037379264831542973
